captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-26,th,Thailand,top_songs_weekly,,62,https://yt3.googleusercontent.com/55Zmh-BFdVZMguTyXg9dbbR_lPmzGgfXnBtQsWx5koAiI7gaQz9mil3AgOWHpoiFycGDRr9e98HdYz92mA=w180-h180-l90-rj,,มิติที่ศูนย์ (feat. เล็ก รัชเมศฐ์),จิ๋ว สกุณชัย,,,มิติที่ศูนย์ (feat. เล็ก รัชเมศฐ์) จิ๋ว สกุณชัย
2026-09-26,th,Thailand,top_songs_weekly,,63,https://yt3.googleusercontent.com/7RO1cpI0ZoW0IKkd74wwh5T75GQIwVYkd5MeVUe9Ql_88oc3KNFoU0NuHxvcpCV0H_E40HURk8Dc90dzuQ=w180-h180-l90-rj,,เมื่อไหร่จะบอก,ETC. / The Parkinson,,,เมื่อไหร่จะบอก ETC. & The Parkinson
2026-09-26,th,Thailand,top_songs_weekly,,64,https://yt3.googleusercontent.com/_w2ThkgzjbnkBe0kJByWbbkxZCCVCaFNPx6IxKz_ZyrWtwQkuAk6_edLu4wn9etC_NjRcShZCbVhNX5U=w180-h180-l90-rj,,ของขวัญ,Musketeers,,,ของขวัญ Musketeers
2026-09-26,th,Thailand,top_songs_weekly,,65,https://i.ytimg.com/vi/VTIqFKUc0kQ/default.jpg,https://www.youtube.com/watch?v=VTIqFKUc0kQ,คาราโอเกะ (Karaoke),Tattoo Colour,,,คาราโอเกะ (Karaoke) Tattoo Colour
2026-09-26,th,Thailand,top_songs_weekly,,66,https://yt3.googleusercontent.com/XlN-arzyq4sJueheNFRPJ2R2TV09VcJUkJr1KEedeHUz2mH9K-Ksx53b81gjwCpN1UsArG-179oj344=w180-h180-l90-rj,,เจ็บไปรักไป,Yes'sir days,,,เจ็บไปรักไป Yes'sir days
2026-09-26,th,Thailand,top_songs_weekly,,67,https://yt3.googleusercontent.com/tKatccOcfvXuZGMfTXhogduVn-XaPFfqg0Ipu_idSw6pb59_GiF5gNWYF3OO5A9eDaazrq3pwkZ70u4uYA=w180-h180-l90-rj,,ฝันพ้อ,埋代•話摘星,"11月 9, 2024",746619,"67 16 ฝันพ้อ 埋代•話摘星 11月 9, 2024 51 3 746,619"
2026-09-26,th,Thailand,top_songs_weekly,,68,https://yt3.googleusercontent.com/DoSlD9nStiSCPI-45A6tQ1ZoE0vCL0mm_BkwQpsCbZVBYtt9Nt6xc9FeFEFyno6V1aXMsXDnPCpJ6idsyg=w180-h180-l90-rj,,สาหัส,Loso,"10月 7, 1999",735510,"68 8 สาหัส Loso 10月 7, 1999 60 12 735,510"
2026-09-26,th,Thailand,top_songs_weekly,,69,https://yt3.googleusercontent.com/8EuoRNuBToTgSKrPeqrLIxrf35nLVLpAYgCwaQboCsv88-5Xfe1g9KKkT0eh-TKRbX1ASf7sF_i1TxFx=w180-h180-l90-rj,,สิลืมเขาแล้วล่ะ (feat. WanMai),Nek Narurpol,,,สิลืมเขาแล้วล่ะ (feat. WanMai) Nek Narurpol
2026-09-26,th,Thailand,top_songs_weekly,,70,https://yt3.googleusercontent.com/LsQ2nhDUHBoob-lAYCCFKrmY-fdhvNOn4DYi6itOi5gynbXo6lqgJvumflBsaig0Td7mYt_WD3MRStYi=w180-h180-l90-rj,,"FON (feat. Yungtarr, SURIYA MQT & P6ICK)",YOUNGGU,,,"FON (feat. Yungtarr, SURIYA MQT & P6ICK) YOUNGGU"
2026-09-26,th,Thailand,top_songs_weekly,,71,https://yt3.googleusercontent.com/TAeFMFthE__R5ywyS3q4h3b08gjG5oqKzsdsmmcYlJ6J80mmiYNRWLVvfuzt3ZMdsZKO5t1WKgkElECg=w180-h180-l90-rj,,ไม่เคยได้ลา (Ost. เทอม 4),Three Man Down,,,ไม่เคยได้ลา (Ost. เทอม 4) Three Man Down
2026-09-26,th,Thailand,top_songs_weekly,,72,https://yt3.googleusercontent.com/o-_kMxfAHxgDtrFpcN2NZ2alxBbhso6gBy8m6fVQu9smBI88FldtviLmoS6Z4Y4zcEjeDKcmDcgytbfy=w180-h180-l90-rj,,ขออนุญาตรัก,Lipta / Ref PURPEECH,,,ขออนุญาตรัก Lipta & Ref PURPEECH
2026-09-26,th,Thailand,top_songs_weekly,,73,https://yt3.googleusercontent.com/MhT_Co_tbwFomFbAI2vRH6uWXzC5aBO8xUhTkIl2xDCOjkTsTFYyp3Ku2S5ZENaZgtwugW2E5KrnBOoMdQ=w180-h180-l90-rj,,พูดลอยลอย,อัสนี โชติกุล,,,พูดลอยลอย อัสนี โชติกุล
2026-09-26,th,Thailand,top_songs_weekly,,74,https://yt3.googleusercontent.com/Tfi-KkK4piUA16FqqIRd9lfLu4XY4s20dXPtGs1Pr1qh8sshXQOHBMDZ5ChO63Xf0X8EJV3oiMmSF1Q=w180-h180-l90-rj,,เหตุผลง่ายๆ,Big Ass,,,เหตุผลง่ายๆ Big Ass
2026-09-26,th,Thailand,top_songs_weekly,,75,https://yt3.googleusercontent.com/zHHW2bPzBsqYFMNwo7553O2tR4_RzzxT0sBF_wQw_qR9dRBy44QU1QIRIoWda6ky_-QHCIW4b_MMrfYv=w180-h180-l90-rj,,อมพระมาพูด,Sek Loso,,,อมพระมาพูด Sek Loso
2026-09-26,th,Thailand,top_songs_weekly,,76,https://yt3.googleusercontent.com/qgTh6VvlhVc0JI5Klxs2Hb3mg-LZgLuELwgfEO1bP-HFAtd4iC8fkLEOTyv4X6RXa35fSpo_NwVWjiHy=w180-h180-s-l90-rj,,อากาศ,Pang Nakarin,,,อากาศ Pang Nakarin
2026-09-26,th,Thailand,top_songs_weekly,,77,https://yt3.googleusercontent.com/0zd99oykz1u3Jq2OfHFuvRt6uYBvICuVd4FoiUevpmwklCtpRe9Aid5FaO0Qozq3polze6BXVY16n_02eQ=w180-h180-l90-rj,,她 (《早春晴朗》電視劇欒念人物曲&片頭曲),劉宇寧,,,她 (《早春晴朗》电视剧栾念人物曲&片头曲) 刘宇宁
